city,latitude,longitude,number of attacks
15 September Dam,13.623187,-88.561123,1
5th of November Hydroelectric Dam,13.99,-88.758,10
62 miles South of Dushanbe,28.291564,-16.62913,1
Aab Kamra,35.077911,62.873525,1
Aab Kumri district,35.082853,63.05,1
Aabde,34.513333,35.959722,1
Aabdeh,34.510595,35.96949,1
Aabgarmak,35.737595,63.827434,1
Aachen,50.775439,6.08151,2
Aadaisse,33.254429,35.542461,1
Aadsheet al-Qaseer,33.276721,35.480938,1
Aaichiye,33.408921,35.556384,3
Aaitit,33.227559,35.306413,1
Aaitraroun,33.115648,35.46871,1
Aakherobh,31.164414,33.964448,1
Aalmane,33.302182,35.47066,2
Aaloucha,36.807444,5.749972,1
Aalst,50.9341,4.04513,1
Aankro,22.408038,87.381073,1
Aarau,47.39066,8.04592,1
Aatpal,19.629022,81.402091,1
Aazaz,36.585331,37.056549,1
Ab Band,32.9833,67.9666,4
Ab Band district,32.9833,67.9666,6
Ab Kamari district,34.894706,62.906837,1
Aba,3.86859,30.222423,5
Aba Khel,33.951714,71.592837,1
Abaagu,8.75392,7.964677,1
Abaarey,7.077222,47.474167,1
Abadam,13.616667,13.264167,3
Abadan,30.347171,48.292706,1
Abaji,8.474676,6.945069,1
Abakaliki,6.332763,8.099836,3
Abako,2.144592,33.223684,1
Abali,38.28584,43.208449,1
Abalokodi,3.340182,32.09055,1
Abancay district,-13.634,-72.881,1
Abante,11.745445,124.038134,1
Abar Sadiyah,33.447014,41.059081,1
Abara,33.874976,45.13092,3
Abarah,33.814167,44.657778,2
Abasah,31.319036,34.340124,1
Abasan al-Sair,31.327331,34.364952,1
Abasiyah,34.276951,43.801308,1
Abasolo,17.65,-92.6,1
Abastumani,42.409888,41.866171,1
Abbad,33.317742,35.280762,1
Abband,33.104444,67.781111,1
Abbarah,33.814152,44.657695,3
Abbas Khel,33.458982,70.992044,1
Abbasi,35.277728,43.59431,1
Abbasiya,12.161509,31.303983,2
Abbotsinch,55.863239,-4.427852,1
Abbottabad,34.166624,73.221653,1
Abdale Birole,0.224021,41.601181,2
Abdallah Jubarah,34.624089,43.668541,1
Abdallah Mohamedein,12.986789,25.05919,1
Abdan,36.633318,68.549988,1
Abdi Sugow,0.408677,40.98429,1
Abdiyah,15.85,46.083333,1
Abdiyah district,15.850014,46.08332,1
Abdul Bari,35.297834,71.53827,1
Abdul Karim,33.773349,45.14945,1
Abdul Khel,34.060127,70.69604,2
Abdulkhel,34.0894,70.683,6
Abdurrahim,33.294022,68.402634,1
Ab-e Jalil,34.331825,62.239446,1
Ab-e Khorma,31.6119,65.6811,1
Abeche,13.83311,20.834835,2
Abeibara,19.110108,1.749848,3
Abeibara district,19.744449,2.302446,1
Abejorral district,5.790365,-75.428333,1
Abepura,-2.662539,140.699787,2
Abha,18.221272,42.50811,2
Abhapalli,21.278657,81.866144,1
Abhayapuri,26.330707,90.670231,1
Abhaynagar,23.021565,89.405916,1
Abhoynagar,23.844348,91.286363,1
Abi Gum,29.805387,67.40041,5
Abia,6.335508,7.411028,1
Abidjan,5.316667,-4.033333,16
Abim,2.778545,33.707062,1
Abisinia,14.1529157,-85.07312,3
Abkaziyah,34.45,43.583333,1
Ablah,33.866816,35.959373,1
Abnoud,26.1701,32.7237,1
Abobo,5.419303,-4.021559,3
Abogbe,7.832584,7.869175,1
Abohar,30.145293,74.199304,2
Aboke,2.358861,32.682882,1
Abole,10.950041,39.499999,1
Abonema,4.723092,6.778945,3
Abonnema,4.722939,6.778846,1
