city,latitude,longitude,number of attacks
Washington,38.89037,-77.031959,13
San Juan,18.46617,-66.106654,27
Mesquite,32.767133,-96.599114,1
New York City,40.712784,-74.005941,43
Ottawa,45.42153,-75.697193,5
Ottawa,45.42153,-75.697193,5
San Diego,32.715695,-117.161719,12
Berkeley,37.869885,-122.270539,3
Northridge,34.238125,-118.530123,1
Cleveland,41.504365,-81.690459,1
Auburn,47.307307,-122.228441,1
Houston,29.76045,-95.369784,3
Toronto,43.6666667,-79.4166667,4
Mexico City,19.432608,-99.133207,52
Boston,42.279265,-71.149497,5
Paterson,40.916465,-74.171084,1
Brentwood,40.778737,-73.230184,1
Santa Ana,33.745573,-117.867834,40
Charlotte,35.2225,-80.837539,2
Baton Rouge,30.443335,-91.186994,2
Baton Rouge,30.443335,-91.186994,2
Ann Arbor,42.281875,-83.748479,4
Dover,39.158035,-75.524734,1
Washington,38.914153,-77.046046,13
New York City,40.78306,-73.971249,43
Sacramento,38.579065,-121.491014,6
Cincinnati,39.103175,-84.511981,4
Cincinnati,39.103175,-84.511981,4
Toledo,41.65381,-83.536259,21
Hacienda Guajoyo,13.482291,-88.712816,1
Pointe-a-Pitre,16.2411,-61.5331,6
Cerro Verde,13.36448506,-85.29337972,1
Jinotega,13.13070671,-85.9716835,28
Embalse Cerron Grande,13.938518,-88.901366,15
Gosier,16.20955,-61.487493,1
Concepcion de Oriente,13.7913889,-87.7166667,1
San Salvador,13.69288,-89.199161,529
Santa Elena,13.66667,-89.26667,10
Santa Tecla,13.6769444,-89.2797222,21
San Pedro,13.664223,-88.660622,12
Campana,13.9977778,-89.3772222,2
Santa Ana,11.978037,-86.37649345,40
Santa Ana,11.978037,-86.37649345,40
Wawa,13.87915,-83.45851,1
La Bodega,13.93412,-84.59281,1
Corre Viento,12.94672,-86.52002,1
San Jose,12.2166667,-84.2166667,31
Santa Maria,13.746389,-86.709722,7
San Juan de Limay,13.174408,-86.612595,3
Wiwili,13.62679,-85.8254,19
San Salvador,13.69288,-89.199161,529
San Salvador,13.69288,-89.199161,529
El Salitre,13.8222,-89.25389,1
Guatemala City,14.624422,-90.53288,247
Santa Ana,13.99417,-89.55972,40
La Mula,13.790327,-88.475585,1
Suchitoto,13.933732,-89.025836,24
Quilali,13.564251,-86.02984,21
San Salvador,13.69288,-89.199161,529
Guatajiagua,13.6667,-88.208264,4
Guatemala City,14.624422,-90.53288,247
San Rafael Cedros,13.7333333,-88.8833333,23
San Rafael Cedros,13.7333333,-88.8833333,23
San Rafael Cedros,13.7333333,-88.8833333,23
San Rafael Cedros,13.7333333,-88.8833333,23
San Rafael Cedros,13.7333333,-88.8833333,23
San Rafael Cedros,13.7333333,-88.8833333,23
San Vicente,13.64121,-88.785423,37
Cerro Tempisque,13.3833333,-87.9333333,1
