city,longitude,latitude,attacks
Baghdad,33.3,44.4,5952
karachi,24.8934,67.0281,2309
lima,-12.046,-77.043,1802
Mosul,36.34,43.13,1435
Mogadishu,2.03742,45.338,1077
santiago,-33.469,-70.642,982
Kirkuk,35.4688,44.391,783
belfast,54.5973,-5.9301,777
Istanbul,41.0107,28.9573,715
medellin,6.27053,-75.572,680
Athens,37.9792,23.7166,668
Baqubah,33.75,44.6333,656
Benghazi,32.1011,20.0853,643
quetta,30.1821,67.0005,625
peshawar,34.0097,71.58,622
bogota,4.5981,-74.076,605
srinagar,34.0837,74.7974,557
san salvador,13.6929,-89.199,529
dhaka,23.8114,90.4121,486
Kabul,34.5331,69.1661,486
Fallujah,33.35,43.7835,455
Tripoli,34.4381,35.8308,428
beirut,33.8886,35.4955,427
manila,14.5961,120.979,387
Ramadi,33.4319,43.3116,367
algiers,36.7525,3.04197,365
Tikrit,34.6044,43.6858,335
Sanaa,15.3694,44.191,327
Maiduguri,11.8333,13.15,319
Kandahar,31.6177,65.6759,293
Jerusalem,31.7665,35.2117,291
Damascus,33.5128,36.2959,289
colombo,6.92708,79.8612,280
Gaza,31.5226,34.4536,253
Tuz Khormato,34.8814,44.6307,248
guatemala city,14.6244,-90.533,247
Imphal,24.817,93.9368,247
Arish,31.1321,33.8033,246
cali,3.42063,-76.522,241
Ayacucho,-13.164,-74.224,233
Samarra,34.1925,43.8864,232
Abu Ghraib,33.2919,44.0656,230
Baiji,34.9292,43.493,213
johannesburg,-26.178,27.9749,202
lahore,31.5546,74.3572,192
Aden,12.8527,44.8948,190
Jalalabad,34.4342,70.4478,190
Ajaccio,41.919,8.73843,189
Bastia,42.6974,9.4501,185
Buenos Aires,-34.604,-58.382,181
Grozny,43.3167,45.6833,180
Donetsk,48.0166,37.7977,178
Aleppo,36.213,37.1426,177
Basra,30.5,47.8167,174
Madain,33.0988,44.585,173
Rafah,31.2883,34.2522,166
Bangkok,13.7279,100.524,164
Kismayo,-0.3571,42.5466,164
Makhachkala,42.9784,47.4911,163
Paris,48.8566,2.35222,162
Bara,24.0317,79.1514,161
Mahmudiyah,33.0554,44.3715,160
Batticaloa,7.71667,81.7002,155
Bujumbura,-3.3829,29.3671,155
huancayo,-12.068,-75.21,155
London,51.5002,-0.1262,155
Khost,33.3367,69.9238,151
Muqdadiyah,33.9713,44.9267,149
Jaffna,9.66123,80.0256,148
Taji,33.5307,44.2743,147
Tarmiyah,33.6644,44.3738,146
Lashkar Gah,31.5831,64.3692,141
cairo,30.05,31.25,139
chittagong,22.3475,91.8123,135
Hillah,32.4833,44.4333,135
Londonderry,54.9945,-7.32,133
Jamrud,34.0016,71.3818,130
Trincomalee,8.5922,81.1968,130
Ghazni,33.55,68.4167,129
Baidoa,3.12003,43.6502,127
Bilbao,43.257,-2.9234,127
Yala,6.5411,101.28,127
Mohmand district,34.5655,71.4774,124
Soweto,-26.246,27.8537,122
new delhi,28.6324,77.22,121
Sheikh Zuweid,31.1705,34.2189,121
hyderabad,25.3778,68.3463,120
Hebron,31.5326,35.0998,119
Landi Kotal,34.1168,71.1665,119
Madrid,40.4167,-3.7003,117
Dera bugti,29.0355,69.1531,116
Bannu,32.985,70.6069,115
Zamboanga city,6.90887,122.077,115
Hangu,33.4438,70.9071,114
Cotabato city,7.21817,124.248,113
Donostia-San Sebastian,43.3208,-1.9844,113
islamabad,33.709,73.0539,113
Karbala,32.614,44.025,113
Muang,6.54171,101.283,112
Dushanbe,38.5367,68.78,110
Bajaur district,34.8569,71.4299,109
Derna,32.759,22.6406,109
Port-au-Prince,18.5392,-72.335,109
tokyo,35.6858,139.757,109
Nazran,43.2167,44.7667,108
Nablus,32.2263,35.2607,107
Kano,12,8.51659,105
Kathmandu,27.7183,85.3253,104
Taizz,13.5645,44.0307,104
Balad,34.0164,44.1453,102
Beledweyne,4.73639,45.2041,100
dera ismail khan,31.8285,70.9072,100
Herat,34.3419,62.2031,100
Sidon,33.5628,35.3689,100
amritsar,31.634,74.8723,99
Sangin district,32.0733,64.8339,99
Yusufiyah,33.079,44.2599,99
Miran Shah,32.9986,70.0671,97
Ankara,39.9196,32.8566,96
Karma,33.3997,43.9089,96
Kunduz,36.7333,68.8667,94
Vavuniya,8.73816,80.4771,94
Berlin,13.4945,-88.53,91
Durban,-29.858,31.0218,91
Iskandariyah,32.885,44.348,89
Rawalpindi,33.6004,73.0434,86
Tarin Kot,32.6664,65.9036,86
Kohat,33.5834,71.4332,85
Sirte,31.2053,16.5884,84
Tal Afar,36.374,42.4514,84
Diyarbakir,37.9157,40.2316,83
Sopore,34.2868,74.4624,83
barcelona,41.3879,2.16992,82
Gereshk,31.8241,64.559,82
bucaramanga,7.1312,-73.125,81
Davao city,7.07404,125.617,81
Tegucigalpa,14.0833,-87.217,80
Khuzdar,27.8045,66.6141,79
La Paz,-16.5,-68.15,79
Orakzai district,33.6973,71.1449,79
Sderot,31.5241,34.5965,79
Valparaiso,-33.046,-71.621,79
Cape town,-33.925,18.4263,78
Sadiyah,34.1863,45.1261,77
Khalis,33.851,44.5195,76
Moscow,55.75,37.6167,76
Tel Aviv,32.0857,34.7837,76
